id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
24633,4923,245,Reborn Cabinets,reborn-cabinets,California,CA,Anaheim,42.9631,20709228,2,20,Los Angeles,Construction,2
22258,4924,140,Finger Lakes Technologies Group,finger-lakes-technologies-group,New York,NY,Victor,42.8442,33047000,71,14,"Rochester, NY",Telecommunications,4
20682,4927,400,CH Reynolds,ch-reynolds,California,CA,San Jose,42.7531,76723257,20,20,San Jose,Construction,5
22094,4928,105,Fortus Healthcare Resources,fortus-healthcare-resources,New York,NY,Utica,42.6954,9053654,419,10,"Utica-Rome, NY",Health,4
44562,4929,351,Hellas Construction,hellas-construction,Texas,TX,Austin,42.6744,146354000,18,20,Austin,Construction,1
44563,4931,110,Gant Travel Management,gant-travel-management,Indiana,IN,Bloomington,42.6024,10718000,115,22,"Bloomington, IN",Travel & Hospitality,1
18969,4933,519,Fragomen,fragomen,New York,NY,New York,42.5685,494000000,9,17,New York City,Business Products & Services,6
1456,4934,227,Universal Consulting Services,universal-consulting-services,Virginia,VA,Fairfax,42.5479,48280142,3,7,"Washington, DC",Government Services,9
2573,4935,408,VanderHouwen & Associates,vanderhouwen-associates,Oregon,OR,Portland,42.5221,51431168,10,8,"Portland, OR",IT Services,7
3813,4937,7036,Pacific Dental Services,pacific-dental-services,California,CA,Irvine,42.4371,893898000,2,10,Los Angeles,Health,11
1812,4938,101,Cenero,cenero,Pennsylvania,PA,Malvern,42.3889,27918839,49,17,Philadelphia,Business Products & Services,3
9451,4939,313,Palo Alto Staffing,palo-alto-staffing,California,CA,Palo Alto,42.3668,7104531,20,21,San Jose,Human Resources,3
23114,4943,150,ISBX,isbx,California,CA,Los Angeles,42.2932,7400216,2,9,Los Angeles,Software,4
44566,4945,272,Diversified,diversified,New Jersey,NJ,Kenilworth,42.1981,206396445,9,17,New York City,Business Products & Services,1
2973,4946,125,Sharon Young,sharon-young,Texas,TX,Dallas,42.1879,48097523,8,4,Dallas,Consumer Products & Services,7
44567,4947,213,Motorcars Group,motorcars-group,Ohio,OH,Cleveland Heights,42.1495,121587413,79,18,Cleveland,Retail,1
24532,4952,117,Low Voltage Contractors,low-voltage-contractors,Minnesota,MN,Minneapolis,41.9467,24067891,13,20,Minneapolis,Construction,2
17291,4953,139,SingleHop,singlehop,Illinois,IL,Chicago,41.7849,41199496,17,8,Chicago,IT Services,7
3651,4956,137,Safety Management Group of Indiana,safety-management-group-of-indiana,Indiana,IN,Indianapolis,41.6407,17531396,81,17,"Indianapolis, IN",Business Products & Services,5
